player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
13bee186,SC Cook,45,2,1366,2526,144,0,14,0,18,7,0,0,32,0
3fb19989,MA Starc,251,427,3200,5094,303,65,128,10,29096,19128,828,342,20874,0
3d8feaf8,MR Marsh,340,251,9382,10467,892,322,131,8,7874,4456,209,41,6608,0
e798611a,HM Amla,574,6,23190,35430,2606,152,242,12,61,37,0,0,39,0
33085ffb,D Elgar,289,80,10692,19066,1218,103,152,3,1632,860,42,12,1307,0
03806cf8,JR Hazlewood,135,324,695,1405,91,6,59,4,22513,15771,566,132,13993,0
30a45b23,SPD Smith,555,135,20708,29444,2057,262,411,33,3136,1599,79,17,2688,0
2e8994e7,JP Duminy,436,303,12102,14719,946,265,206,16,7710,3775,175,50,6649,0
a22fb7b5,PM Nevill,97,0,1607,3487,162,5,154,17,0,0,0,0,0,13
bd93fea4,PM Siddle,256,412,2841,5417,295,24,50,9,33947,25075,718,253,18637,0
3355b542,F du Plessis,579,27,19556,22742,1907,460,326,21,396,163,11,7,402,0
9ffd1ac1,T Bavuma,239,7,7125,10616,753,85,104,16,141,89,1,0,93,0
96a6a7ad,NM Lyon,240,376,1994,4011,242,19,72,6,44151,31823,755,198,22979,0
864c199e,AC Voges,170,51,5381,7657,541,32,83,5,887,394,21,3,790,0
372455c4,Q de Kock,582,0,19960,19083,2184,559,671,79,0,0,0,0,0,82
508a1ea7,SE Marsh,367,0,12966,17295,1358,236,129,7,0,0,0,0,0,0
cfe70281,VD Philander,166,216,2799,5237,288,47,32,4,15379,11412,340,104,8247,0
0b60eb09,KA Maharaj,188,289,2157,3038,232,54,70,7,18014,11734,436,149,11844,0
dcce6f09,DA Warner,701,21,26501,28162,2878,575,328,22,352,196,4,0,286,0
e62dd25d,K Rabada,218,425,1775,2901,190,42,111,12,22743,14268,773,190,17977,0
8fd1a8f5,DW Steyn,230,492,1909,3751,189,49,84,26,30074,19973,926,275,20947,0
331ea488,UT Khawaja,338,4,12488,20666,1422,101,129,6,24,14,0,0,13,0
7a5f232a,JA Burns,214,12,6204,10229,637,96,128,0,143,80,3,1,103,0
a9da7784,KJ Abbott,211,377,2445,4459,285,34,49,11,24513,17147,688,289,15840,0
9b4935c8,CJ Ferguson,194,0,4944,6269,512,62,75,3,0,0,0,0,0,0
087210b1,DJ Vilas,317,2,9089,10650,891,167,272,18,74,46,0,0,53,34
f048bb41,JM Mennie,48,61,640,1284,70,5,8,2,4450,3114,95,31,2772,0
bc773eeb,JM Bird,117,203,1033,1544,117,19,67,4,14608,10540,312,91,8772,0
218d4d78,MT Renshaw,226,69,6593,11183,702,90,122,3,1359,752,24,8,1110,0
afa7e784,MS Wade,402,16,10517,13256,993,237,348,44,309,181,4,1,234,38
a03bba42,T Shamsi,59,281,123,255,8,1,29,4,8120,3205,366,124,8841,0
ada15e88,PSP Handscomb,354,2,10981,16687,1127,92,305,10,66,32,0,0,81,21
44afbf2d,NJ Maddinson,210,40,5365,6700,530,158,89,6,528,232,15,2,508,0
e174dadd,Mohammad Amir,185,402,1554,2926,166,23,35,15,17896,10875,576,169,13881,0
a63775d6,Rahat Ali,44,86,174,447,22,3,15,4,5724,3781,122,34,3949,0
f2800ef3,Yasir Shah,110,168,1289,2467,141,15,39,5,17552,11680,337,147,10754,0
b3118300,Wahab Riaz,222,353,2022,2401,164,79,83,14,14606,7569,521,140,13462,0
7eae4418,Misbah-ul-Haq,337,1,11506,19483,920,214,141,18,24,7,0,0,30,0
211de69f,Azhar Ali,335,67,12153,25378,1239,55,102,9,1438,723,21,4,1149,0
2254ab79,Sarfraz Ahmed,302,2,7732,9016,702,66,359,37,16,7,0,0,21,70
50250426,Asad Shafiq,215,17,6550,12120,680,44,102,3,356,208,3,0,215,0
96a2336e,Sami Aslam,29,0,836,2064,87,4,7,0,0,0,0,0,0,0
8a75e999,Babar Azam,456,8,18594,20969,1936,246,212,11,90,61,2,2,46,0
33cb3411,Younis Khan,338,41,12343,20565,1143,101,197,21,842,498,11,4,603,0
5af743d0,Sohail Khan,43,78,430,539,44,17,8,3,3628,2048,94,23,3342,0
2cc557f8,Imran Khan,25,51,138,204,11,4,8,5,2409,1530,75,21,1810,0
ab965cad,HWR Cartwright,192,50,5291,7825,571,112,96,6,1557,1003,38,9,1123,0
2f26ac1a,Mohammad Rizwan,312,1,10856,11825,988,217,324,42,12,10,0,0,5,39
193ef196,Sharjeel Khan,95,0,2371,1902,264,117,19,0,0,0,0,0,0,0
3540beff,SNJ O'Keefe,62,129,513,943,51,7,30,2,5368,3121,152,42,3822,0
12b610c2,TM Head,383,167,13597,16135,1518,312,112,9,5042,2848,89,28,3845,0
9ab63e7b,Mohammad Hafeez,544,405,14890,18669,1550,298,185,19,13791,7475,321,137,9870,0
45eda7c8,CA Lynn,277,3,8106,5869,733,415,75,2,48,14,3,0,52,0
2911de16,Hasan Ali,164,297,1485,1506,110,88,58,16,13554,8000,488,176,11554,0
9cb8d7a6,Imad Wasim,255,358,3990,3357,360,114,85,15,8865,3686,357,121,9085,0
b681e71e,GJ Maxwell,563,429,14562,11255,1310,635,316,36,10013,4318,296,74,10036,0
3086f7a4,Mohammad Nawaz (3),65,102,834,957,63,24,43,2,2690,1282,98,39,2652,0
808f425a,JP Faulkner,214,289,3299,3172,215,107,78,14,8945,4050,424,109,9389,0
ded9240e,PJ Cummins,222,340,2693,4244,224,93,85,11,20775,13448,582,124,14777,0
fd2bf2a0,Umar Akmal,303,0,7459,7941,630,208,192,30,0,0,0,0,0,24
6834d1f2,B Stanlake,29,95,46,162,3,1,9,0,3036,1624,114,16,3112,0
086f5984,Junaid Khan,79,215,252,537,23,4,28,4,10911,6586,325,110,8542,0
64c34cd0,Shoaib Malik,611,392,16111,17292,1296,390,245,26,10348,4956,273,78,8693,0
14f96089,A Zampa,138,390,836,1178,68,8,50,3,13159,5474,538,193,13515,0
b8d490fd,AJ Finch,542,59,17308,16415,1677,575,248,15,694,284,15,0,713,0
a12e1d51,SL Malinga,188,481,1009,1520,92,36,58,31,20229,10260,755,319,18545,0
b970a03f,M Klinger,222,0,7624,8627,759,155,106,4,0,0,0,0,0,0
469ea22b,KMDN Kulasekara,176,283,1915,2778,157,52,75,30,13128,7822,358,138,10413,0
530b20e3,JRMVB Sanjaya,5,8,20,18,3,0,0,0,183,55,10,2,257,0
f78e7113,S Prasanna,130,149,1418,1245,91,96,42,6,4693,2104,127,46,4523,0
79aad751,PADLR Sandakan,49,88,225,511,26,0,21,2,4498,2164,111,28,3976,0
770494eb,DAS Gunaratne,62,54,1497,1992,141,18,23,4,1384,552,45,15,1366,0
32198ae0,MC Henriques,315,176,7202,8615,594,166,127,8,3622,1750,122,26,3506,0
cfad138c,CK Kapugedera,137,15,2671,3625,207,60,60,13,324,129,2,2,312,0
ff1e12a0,AJ Turner,191,73,3938,3657,291,137,106,4,853,343,33,6,903,0
45963d9e,N Dickwella,234,0,5952,7093,695,62,222,18,0,0,0,0,0,47
7ed9fd56,WU Tharanga,315,0,9323,12925,1105,86,78,12,0,0,0,0,0,2
5748e866,TD Paine,180,0,4328,7238,477,39,339,12,0,0,0,0,0,24
5a22d91c,EMDY Munaweera,52,26,802,778,92,24,8,1,407,142,12,5,459,0
7c7d63a2,AJ Tye,103,249,778,634,53,41,73,14,5883,2000,402,64,7803,0
bf7842c9,TAM Siriwardana,56,44,1121,1239,91,37,16,0,1186,590,29,11,1060,0
272d796e,BR Dunk,151,7,3300,2596,274,124,91,6,77,24,3,1,118,9
1ee08e9a,JA Richardson,65,127,742,896,74,14,36,2,5218,3111,196,56,4476,0
5d1e7582,BKG Mendis,368,12,11414,14459,1212,244,224,40,156,75,1,1,146,26
3ff033bb,MD Shanaka,232,148,4059,3822,304,188,75,12,2938,1310,104,18,3047,0
e84ac20c,MJ Henry,197,340,2553,2873,281,99,95,16,25154,17278,687,199,16614,0
a818c1be,TA Boult,198,487,1344,1919,128,58,159,14,29927,19776,855,271,21661,0
2f9d0389,LH Ferguson,105,268,711,1081,63,25,65,6,12741,7615,450,133,10718,0
94d7f855,C de Grandhomme,295,268,6791,6955,589,264,126,6,11948,8140,209,58,7254,0
5056011d,GJ Bailey,293,2,8261,9299,715,176,143,16,17,8,0,0,15,0
e4a0deae,MJ Santner,308,381,5926,7921,558,189,147,26,18717,11115,444,94,13407,0
9219eff0,JDS Neesham,345,347,7188,7249,683,223,177,6,9879,5018,343,76,10030,0
928670cc,BJ Watling,204,2,6465,13969,734,26,374,11,12,11,0,0,1,9
af2c687b,C Munro,447,91,12769,9964,1149,590,139,5,2031,1121,53,10,1672,0
2be41edb,MJ Guptill,594,36,19241,22655,1965,608,338,35,605,344,13,4,459,0
e824e6ee,TWM Latham,421,1,14639,24098,1538,155,330,19,13,8,0,0,5,19
d027ba9f,KS Williamson,570,163,22366,32361,2259,232,272,19,4227,2437,87,12,2981,0
13c35c9e,TG Southee,342,582,3686,4146,330,155,225,17,37745,25081,957,251,26602,0
03521fd3,HM Nicholls,249,3,8206,13544,867,58,122,11,18,12,0,0,10,0
c5326dd0,NG Jones,10,10,80,87,4,3,8,1,279,140,11,3,226,0
