match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1385700,12b610c2,TM Head,250,All-Rounder,Australia,48.73625200346449
1385700,fa433be6,M Labuschagne,195,All-Rounder,Australia,19.55285685954633
1385700,5f26f677,BM Duckett,116,Wicket-Keeper,England,33.89127142980302
1385700,9caf69a1,WG Jacks,81,All-Rounder,England,54.871845190598755
1385700,14f96089,A Zampa,79,Bowler,Australia,23.89734917171523
1385700,3c55c703,JG Bethell,75,All-Rounder,England,17.07423798280614
1385700,eaa76d3c,C Green,53,All-Rounder,Australia,33.65286757031434
1385700,4ae1755b,HC Brook,51,Batsman,England,26.476681906788755
1385700,30a45b23,SPD Smith,48,All-Rounder,Australia,29.951415158484217
1385700,894b2d25,MJ Potts,40,Bowler,England,38.46229102572877
1385700,50c6bc2b,LS Livingstone,35,All-Rounder,England,46.99810497458785
1385701,69d03465,AT Carey,114,Wicket-Keeper,Australia,16.378605606363372
1385701,cad40f5e,BA Carse,107,All-Rounder,England,36.08897020745402
1385701,3c55c703,JG Bethell,95,All-Rounder,England,27.46634028416547
1385701,3fb19989,MA Starc,93,Bowler,Australia,39.148196291188576
1385701,d405c0d5,AM Hardie,88,All-Rounder,Australia,29.841420688888967
1385701,249d60c9,AU Rashid,83,Bowler,England,42.45018345126812
1385701,3d8feaf8,MR Marsh,82,All-Rounder,Australia,40.46546654581644
1385701,894b2d25,MJ Potts,81,Bowler,England,29.405319598100313
1385701,b681e71e,GJ Maxwell,71,All-Rounder,Australia,66.74036344425609
1385701,c834c290,JL Smith,67,Wicket-Keeper,England,25.12221473959849
1385701,9b6e1b3f,J Fraser-McGurk,8,Batsman,,39.03844895473429
1385702,4ae1755b,HC Brook,145,Batsman,England,23.094032069880328
1385702,9caf69a1,WG Jacks,138,All-Rounder,England,39.26292696735166
1385702,69d03465,AT Carey,97,Wicket-Keeper,Australia,23.565982474504608
1385702,eaa76d3c,C Green,94,All-Rounder,Australia,39.42926400880414
1385702,30a45b23,SPD Smith,73,All-Rounder,Australia,28.855455541781545
1385702,50c6bc2b,LS Livingstone,68,All-Rounder,England,50.70508617080052
1385702,d405c0d5,AM Hardie,57,All-Rounder,Australia,30.936539276209015
1385702,b681e71e,GJ Maxwell,53,All-Rounder,Australia,53.90950026834771
1385702,5574750c,JC Archer,50,Bowler,England,51.87808234090075
