match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1385700,9caf69a1,WG Jacks,81,All-Rounder,England,54.871845190598755
1385700,5574750c,JC Archer,1,Bowler,England,53.99694802756534
1385700,3d8feaf8,MR Marsh,12,All-Rounder,Australia,48.920814703920215
1385700,12b610c2,TM Head,250,All-Rounder,Australia,48.73625200346449
1385700,cad40f5e,BA Carse,6,All-Rounder,England,47.97147572489895
1385700,1a2676c5,SA Abbott,-6,Bowler,Australia,47.59486399238269
1385700,50c6bc2b,LS Livingstone,35,All-Rounder,England,46.99810497458785
1385700,249d60c9,AU Rashid,-2,Bowler,England,41.77817678044841
1385700,894b2d25,MJ Potts,40,Bowler,England,38.46229102572877
1385700,5f26f677,BM Duckett,116,Wicket-Keeper,England,33.89127142980302
1385700,4ae1755b,HC Brook,51,Batsman,England,26.476681906788755
1385701,12b610c2,TM Head,39,All-Rounder,Australia,69.66293403423363
1385701,b681e71e,GJ Maxwell,71,All-Rounder,Australia,66.74036344425609
1385701,50c6bc2b,LS Livingstone,0,All-Rounder,England,51.814259657705826
1385701,249d60c9,AU Rashid,83,Bowler,England,42.45018345126812
1385701,fa433be6,M Labuschagne,20,All-Rounder,Australia,40.693613917138755
1385701,3d8feaf8,MR Marsh,82,All-Rounder,Australia,40.46546654581644
1385701,9caf69a1,WG Jacks,-8,All-Rounder,England,39.38371239900024
1385701,3fb19989,MA Starc,93,Bowler,Australia,39.148196291188576
1385701,9b6e1b3f,J Fraser-McGurk,8,Batsman,,39.03844895473429
1385701,3f659464,OP Stone,42,Bowler,England,39.00710001513344
1385701,5f26f677,BM Duckett,42,Wicket-Keeper,England,34.46434035472855
1385702,b681e71e,GJ Maxwell,53,All-Rounder,Australia,53.90950026834771
1385702,5574750c,JC Archer,50,Bowler,England,51.87808234090075
1385702,50c6bc2b,LS Livingstone,68,All-Rounder,England,50.70508617080052
1385702,1a2676c5,SA Abbott,10,Bowler,Australia,47.824948304864606
1385702,3fb19989,MA Starc,48,Bowler,Australia,45.251998402233134
1385702,249d60c9,AU Rashid,17,Bowler,England,44.244587709837624
1385702,cad40f5e,BA Carse,41,All-Rounder,England,43.35421742139053
1385702,894b2d25,MJ Potts,9,Bowler,England,42.37342613431381
1385702,3d8feaf8,MR Marsh,28,All-Rounder,Australia,41.08969684930486
1385702,c834c290,JL Smith,21,Wicket-Keeper,England,35.864097844608786
1385702,4ae1755b,HC Brook,145,Batsman,England,23.094032069880328
1385703,12b610c2,TM Head,48,All-Rounder,Australia,61.068050743460425
1385703,b681e71e,GJ Maxwell,29,All-Rounder,Australia,56.44286423351146
1385703,50c6bc2b,LS Livingstone,109,All-Rounder,England,55.45058790434324
1385703,5574750c,JC Archer,58,Bowler,England,54.35857693056326
1385703,9caf69a1,WG Jacks,19,All-Rounder,England,52.88872534861478
1385703,cad40f5e,BA Carse,95,All-Rounder,England,51.3527985273651
1385703,3fb19989,MA Starc,-1,Bowler,Australia,46.82586194188403
1385703,1a2676c5,SA Abbott,14,Bowler,Australia,44.13801461555938
1385703,fa433be6,M Labuschagne,18,All-Rounder,Australia,43.98176145809824
1385703,989889ff,JP Inglis,8,Wicket-Keeper,Australia,34.184494983687586
1385703,4ae1755b,HC Brook,116,Batsman,England,24.43294332906042
1385704,12b610c2,TM Head,159,All-Rounder,Australia,53.05746967103451
1385704,b681e71e,GJ Maxwell,66,All-Rounder,Australia,53.03146606634017
1385704,9caf69a1,WG Jacks,-2,All-Rounder,England,50.65054080444696
1385704,50c6bc2b,LS Livingstone,-2,All-Rounder,England,47.825557370797775
1385704,fa433be6,M Labuschagne,16,All-Rounder,Australia,47.433522286585
1385704,3fb19989,MA Starc,-2,Bowler,Australia,41.14902235492809
1385704,cad40f5e,BA Carse,32,All-Rounder,England,40.310339947363154
1385704,3f659464,OP Stone,3,Bowler,England,39.22099486853991
1385704,a90e53ec,MW Short,91,All-Rounder,Australia,38.11581933298958
1385704,989889ff,JP Inglis,66,Wicket-Keeper,Australia,30.739611874578948
1385704,4ae1755b,HC Brook,101,Batsman,England,28.233728445645497
1398276,de69af96,SFM Devine,52,All-Rounder,New Zealand,53.783925429569415
1398276,c6625a26,CE Dean,9,Bowler,England,45.68885638174485
1398276,38b4583c,LK Bell,159,Bowler,England,44.592832500220034
1398276,f3a18a0c,NR Sciver-Brunt,110,All-Rounder,England,44.107906071243
1398276,8ca1f93a,HM Rowe,70,Bowler,New Zealand,43.824740045780096
1398276,1ade138e,KL Cross,58,Bowler,England,34.55889463672582
1398276,3a9e9cb2,SIR Dunkley,17,All-Rounder,England,33.75766984251106
1398276,7673c908,AC Kerr,95,All-Rounder,New Zealand,33.3977535709368
1398276,c2554b59,ME Bouchier,21,Batsman,England,31.108717680726535
1398276,b34e0c77,S Glenn,-4,Bowler,England,31.049949162620457
1398276,b2664905,TT Beaumont,-2,Wicket-Keeper,England,26.81016820233595
