match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1385697,eaa76d3c,C Green,46,All-Rounder,Australia,47.20109275345916
1385697,e94915e6,SM Curran,55,All-Rounder,England,43.967451041982685
1385697,5574750c,JC Archer,70,Bowler,England,37.70810026130562
1385697,9caf69a1,WG Jacks,6,All-Rounder,England,37.40886681599076
1385697,1a2676c5,SA Abbott,91,Bowler,Australia,35.608196546179535
1385697,3d284ca3,PD Salt,37,Wicket-Keeper,England,34.827050636142815
1385697,d9273ee7,MP Stoinis,35,All-Rounder,Australia,32.720147980363265
1385697,989889ff,JP Inglis,47,Wicket-Keeper,Australia,31.98616452064178
1385697,a90e53ec,MW Short,81,All-Rounder,Australia,30.7748383961335
1385697,3b53243a,XC Bartlett,23,Bowler,Australia,30.181833891287333
1385697,12b610c2,TM Head,89,All-Rounder,Australia,29.406744865676902
1385698,e94915e6,SM Curran,20,All-Rounder,England,45.78722543310237
1385698,eaa76d3c,C Green,9,All-Rounder,Australia,45.42257384573679
1385698,1a2676c5,SA Abbott,66,Bowler,Australia,42.9238285797968
1385698,d405c0d5,AM Hardie,20,All-Rounder,Australia,39.08338392128216
1385698,d9273ee7,MP Stoinis,-4,All-Rounder,Australia,36.690905816939335
1385698,9caf69a1,WG Jacks,13,All-Rounder,England,35.21620810307841
1385698,50c6bc2b,LS Livingstone,171,All-Rounder,England,34.879344143703264
1385698,3d284ca3,PD Salt,63,Wicket-Keeper,England,34.43278049796826
1385698,14f96089,A Zampa,0,Bowler,Australia,33.992675016270574
1385698,fe366f34,C Connolly,6,All-Rounder,Australia,32.804734515095106
1385698,9b6e1b3f,J Fraser-McGurk,78,Batsman,Australia,19.523593717824447
1398277,de69af96,SFM Devine,-2,All-Rounder,New Zealand,50.65170316207711
1398277,7673c908,AC Kerr,27,All-Rounder,New Zealand,50.57737567717651
1398277,89bbc67a,SW Bates,56,All-Rounder,New Zealand,46.83440427815825
