match_id,batsman_id,batsman_name,bowler_id,bowler_name,runs_scored,balls_faced,runs_conceded,balls_bowled,4s,6s,wickets,gender,venue,date,match_type,wicket_type_1,wicket_type_2
64012,94198ef4,JL Langer,25020f9d,AR Caddick,71,127,83,123,9,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,,lbw
64012,d8699ab7,ML Hayden,25020f9d,AR Caddick,35,58,36,58,4,0,2,male,Melbourne Cricket Ground,2002-12-26,Test,caught,caught
64012,d8699ab7,ML Hayden,c16d2e28,SJ Harmison,26,28,26,28,2,1,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,94198ef4,JL Langer,c16d2e28,SJ Harmison,49,145,57,143,4,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,94198ef4,JL Langer,f44af07f,C White,56,72,56,72,6,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,d8699ab7,ML Hayden,f44af07f,C White,31,45,32,44,3,2,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,94198ef4,JL Langer,d1d0b5ed,RKJ Dawson,85,88,85,88,11,1,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,d8699ab7,ML Hayden,d1d0b5ed,RKJ Dawson,11,20,11,20,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,7d415ea5,RT Ponting,25020f9d,AR Caddick,36,30,36,30,5,1,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,7d415ea5,RT Ponting,d1d0b5ed,RKJ Dawson,3,3,3,3,0,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,94198ef4,JL Langer,8fb88ee3,MA Butcher,13,31,16,33,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,7d415ea5,RT Ponting,c16d2e28,SJ Harmison,8,23,11,20,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,,caught
64012,7d415ea5,RT Ponting,8fb88ee3,MA Butcher,4,6,4,6,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,7d415ea5,RT Ponting,f44af07f,C White,0,5,0,5,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,bowled,
64012,69762509,DR Martyn,f44af07f,C White,8,23,8,23,1,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,69762509,DR Martyn,c16d2e28,SJ Harmison,9,10,9,10,2,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,,caught
64012,622dee94,SR Waugh,c16d2e28,SJ Harmison,36,51,40,48,7,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,622dee94,SR Waugh,f44af07f,C White,16,18,16,18,3,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,622dee94,SR Waugh,25020f9d,AR Caddick,15,48,16,48,2,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,,caught
64012,622dee94,SR Waugh,d1d0b5ed,RKJ Dawson,2,17,2,17,0,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,622dee94,SR Waugh,8fb88ee3,MA Butcher,22,8,22,8,5,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c4b94434,ML Love,f44af07f,C White,21,36,21,36,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c4b94434,ML Love,25020f9d,AR Caddick,9,20,9,20,0,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c4b94434,ML Love,c16d2e28,SJ Harmison,10,28,15,28,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c4b94434,ML Love,d1d0b5ed,RKJ Dawson,19,38,19,38,2,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c4b94434,ML Love,8fb88ee3,MA Butcher,9,33,13,35,0,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,2b6e6dec,AC Gilchrist,d1d0b5ed,RKJ Dawson,1,3,1,3,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,bowled,
64012,2b6e6dec,AC Gilchrist,c16d2e28,SJ Harmison,5,6,6,6,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,ea42ddb9,ME Trescothick,ee7d0c82,GD McGrath,10,29,11,29,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,6e1b1ec0,MP Vaughan,74234d66,JN Gillespie,28,50,28,50,2,1,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,ea42ddb9,ME Trescothick,74234d66,JN Gillespie,10,38,10,38,2,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,6e1b1ec0,MP Vaughan,ee7d0c82,GD McGrath,25,33,26,33,4,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,bowled,
64012,8fb88ee3,MA Butcher,ee7d0c82,GD McGrath,8,19,8,19,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,8fb88ee3,MA Butcher,74234d66,JN Gillespie,1,22,1,22,0,0,2,male,Melbourne Cricket Ground,2002-12-26,Test,lbw,caught
64012,ea42ddb9,ME Trescothick,60dac349,SCG MacGill,29,30,31,30,3,2,1,male,Melbourne Cricket Ground,2002-12-26,Test,,lbw
64012,8fb88ee3,MA Butcher,60dac349,SCG MacGill,11,31,11,31,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,ea42ddb9,ME Trescothick,dd09ff8e,B Lee,25,24,27,23,5,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,8fb88ee3,MA Butcher,dd09ff8e,B Lee,11,35,14,33,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,f76ffa81,N Hussain,dd09ff8e,B Lee,15,28,19,25,2,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,f76ffa81,N Hussain,60dac349,SCG MacGill,23,59,23,59,3,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,d1d0b5ed,RKJ Dawson,74234d66,JN Gillespie,12,20,12,20,2,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,d1d0b5ed,RKJ Dawson,60dac349,SCG MacGill,3,33,5,33,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,d1d0b5ed,RKJ Dawson,dd09ff8e,B Lee,6,10,11,10,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,bcb01d8c,RWT Key,dd09ff8e,B Lee,11,38,16,37,2,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,lbw,
64012,c16b33fa,JP Crawley,dd09ff8e,B Lee,20,44,33,40,3,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,,bowled
64012,f44af07f,C White,60dac349,SCG MacGill,38,76,39,76,1,3,1,male,Melbourne Cricket Ground,2002-12-26,Test,,caught
64012,c16b33fa,JP Crawley,ee7d0c82,GD McGrath,5,27,7,25,0,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,f44af07f,C White,ee7d0c82,GD McGrath,27,51,29,51,5,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c16b33fa,JP Crawley,60dac349,SCG MacGill,18,52,22,52,2,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,c16b33fa,JP Crawley,74234d66,JN Gillespie,3,22,3,22,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,caught,
64012,e68dd455,JS Foster,74234d66,JN Gillespie,3,18,4,17,0,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,e68dd455,JS Foster,60dac349,SCG MacGill,17,43,17,43,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,,caught
64012,f44af07f,C White,74234d66,JN Gillespie,10,30,10,30,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,e68dd455,JS Foster,dd09ff8e,B Lee,5,19,7,20,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,f44af07f,C White,dd09ff8e,B Lee,21,30,22,30,4,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,f44af07f,C White,622dee94,SR Waugh,10,9,10,9,1,0,0,male,Melbourne Cricket Ground,2002-12-26,Test,,
64012,e68dd455,JS Foster,622dee94,SR Waugh,0,9,5,9,0,0,1,male,Melbourne Cricket Ground,2002-12-26,Test,lbw,
